Corpus,File,Name,Verb,Age,Sent,Syntatic Object,Event or Object,Syntatic Object,Event or Object,Convergence,Comments,Comments,,,,,,,,,,,,,
Brown,adam08.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y6M17D'],who did dat that,that,pronoun,that,pronoun,pronoun,,,,,,,,,,,,,,,
Brown,adam08.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y6M17D'],Adam do it,,,,,0,,,,,,,,,,,,,,,
Brown,adam08.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y6M17D'],let Adam do it,,,,,0,,,,,,,,,,,,,,,
Brown,adam09.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y7M1D'],cowboy did fighting me,fighting,event,fighting,event,event,?,?,,,,,,,,,,,,,
Brown,adam09.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y7M1D'],who did that,that,pronoun,that,pronoun,pronoun,,,,,,,,,,,,,,,
Brown,adam09.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y7M1D'],rubber band do dis this,this,pronoun,this,pronoun,pronoun,,,,,,,,,,,,,,,
Brown,adam09.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y7M1D'],who did Mommy,,,,,0,?,,,,,,,,,,,,,,
Brown,adam09.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y7M1D'],what kitty do went any place,,,,,0,?,,,,,,,,,,,,,,
Brown,adam09.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y7M1D'],bear wan  do it cigarette,,,,,0,?,,,,,,,,,,,,,,
Brown,adam09.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y7M1D'],okay do it,,,,,0,,,,,,,,,,,,,,,
Brown,adam09.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y7M1D'],let me do it,,,,,0,,,,,,,,,,,,,,,
Brown,adam09.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y7M1D'],let me do it,,,,,0,,,,,,,,,,,,,,,
Brown,adam09.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y7M1D'],you do it Mommy,,,,,0,,,,,,,,,,,,,,,
Brown,adam09.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y7M1D'],you do it,,,,,0,,,,,,,,,,,,,,,
Brown,adam09.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y7M1D'],let me do it,,,,,0,,,,,,,,,,,,,,,
Brown,adam10.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y7M14D'],let me do,,,,,0,,,,,,,,,,,,,,,
Brown,adam10.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y7M14D'],who did Mommy,,,,,0,,,,,,,,,,,,,,,
Brown,adam10.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y7M14D'],have do it on,,,,,0,,,,,,,,,,,,,,,
Brown,adam11.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y8M1D'],saggy baggy doesn't eat a all up,eat,event,eat,event,event,?,,,,,,,,,,,,,,
Brown,adam11.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y8M1D'],holler doesn't fit in,fit,event,fit,event,event,?,,,,,,,,,,,,,,
Brown,adam11.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y8M1D'],let me do ropes,rope,event,rope,event,event,,,,,,,,,,,,,,,
Brown,adam11.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y8M1D'],what de the cowboy do dat that,that,pronoun,that,pronoun,pronoun,,,,,,,,,,,,,,,
Brown,adam11.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y8M1D'],le me do rope tricks,trick,event,rope tricks,event,event,,,,,,,,,,,,,,,
Brown,adam11.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y8M1D'],what do you watch me,you,pronoun,you,pronoun,pronoun,?,,,,,,,,,,,,,,
Brown,adam11.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y8M1D'],do do want book,,,,,0,?,,,,,,,,,,,,,,
Brown,adam11.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y8M1D'],anybody do want anybody,,,,,0,?,,,,,,,,,,,,,,
Brown,adam11.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y8M1D'],puppy do want a dollar,,,,,0,?,,,,,,,,,,,,,,
Brown,adam11.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y8M1D'],do do like grapefruit,,,,,0,?,,,,,,,,,,,,,,
Brown,adam11.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y8M1D'],do do want bib on,,,,,0,?,,,,,,,,,,,,,,
Brown,adam11.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y8M1D'],I do wash hands,,,,,0,?,,,,,,,,,,,,,,
Brown,adam11.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y8M1D'],oh no they do fly,,,,,0,?,,,,,,,,,,,,,,
Brown,adam12.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y8M16D'],xxx de the doing Cromer,Cromer,object,Cromer,object,object,?,,,,,,,,,,,,,,
