Corpus,File,Name,Verb,Age,Sent,Syntatic Object,Event or Object,Syntatic Object,Event or Object,Covergence,Comments,Comments,
Brown,adam12.xml,['Adam'],have|haves|having|had|haven't,['P2Y8M16D'],we have coffee we have coffee,coffee,object,coffee,object,object,,,
Brown,adam12.xml,['Adam'],have|haves|having|had|haven't,['P2Y8M16D'],le me had cranberry juice,cranberry juice,object,juice,object,object,,,
Brown,adam12.xml,['Adam'],have|haves|having|had|haven't,['P2Y8M16D'],le me have cup of coffee,cup of coffee,object,coffee,object,object,?,,
Brown,adam12.xml,['Adam'],have|haves|having|had|haven't,['P2Y8M16D'],le me have more milk,milk,object,milk,object,object,,,
Brown,adam12.xml,['Adam'],have|haves|having|had|haven't,['P2Y8M16D'],le me have stamps,stamps,object,stamps,object,object,,,
Brown,adam12.xml,['Adam'],have|haves|having|had|haven't,['P2Y8M16D'],yes have in here,,,,,0,?,?,
Brown,adam12.xml,['Adam'],have|haves|having|had|haven't,['P2Y8M16D'],have be have  be stirs,,,,,0,?,?,
Brown,adam12.xml,['Adam'],have|haves|having|had|haven't,['P2Y8M16D'],le me have more,,,,,0,?,?,
Brown,adam13.xml,['Adam'],have|haves|having|had|haven't,['P2Y9M4D'],don't have it,,,,,0,,,
Brown,adam14.xml,['Adam'],have|haves|having|had|haven't,['P2Y9M18D'],don't don't want have lunch,lunch,event,lunch,event,event,,,
Brown,adam14.xml,['Adam'],have|haves|having|had|haven't,['P2Y9M18D'],baby have tooth,tooth,object,tooth,object,object,,,
Brown,adam14.xml,['Adam'],have|haves|having|had|haven't,['P2Y9M18D'],Cromer have some,some,pronoun,some,pronoun,pronoun,,,
Brown,adam14.xml,['Adam'],have|haves|having|had|haven't,['P2Y9M18D'],I have a hang up okay,,,,,0,?,?,
Brown,adam15.xml,['Adam'],have|haves|having|had|haven't,['P2Y10M2D'],where mine my graham cracker le me have one,one,pronoun,cracker,object,!!!,?,object,
Brown,adam15.xml,['Adam'],have|haves|having|had|haven't,['P2Y10M2D'],what d you have have your hand,hand,object,hand,object,object,,,
Brown,adam15.xml,['Adam'],have|haves|having|had|haven't,['P2Y10M2D'],you don't have paper,paper,object,paper,object,object,,,
Brown,adam15.xml,['Adam'],have|haves|having|had|haven't,['P2Y10M2D'],want some what de the I have  train,train,object,train,object,object,?,,
Brown,adam15.xml,['Adam'],have|haves|having|had|haven't,['P2Y10M2D'],you have watch on,watch,object,watch,object,object,?,,
Brown,adam15.xml,['Adam'],have|haves|having|had|haven't,['P2Y10M2D'],let me have one,one,pronoun,one,pronoun,pronoun,,?,
Brown,adam15.xml,['Adam'],have|haves|having|had|haven't,['P2Y10M2D'],I have some,some,pronoun,some,pronoun,pronoun,,,
Brown,adam15.xml,['Adam'],have|haves|having|had|haven't,['P2Y10M2D'],she had some,some,pronoun,some,pronoun,pronoun,,,
Brown,adam15.xml,['Adam'],have|haves|having|had|haven't,['P2Y10M2D'],I want have some,some,pronoun,some,pronoun,pronoun,,,
Brown,adam15.xml,['Adam'],have|haves|having|had|haven't,['P2Y10M2D'],want have some,some,pronoun,some,pronoun,pronoun,,,
Brown,adam15.xml,['Adam'],have|haves|having|had|haven't,['P2Y10M2D'],what he have huh,,,,,0,?,?,
Brown,adam15.xml,['Adam'],have|haves|having|had|haven't,['P2Y10M2D'],want have two,,,,,0,?,?,
Brown,adam15.xml,['Adam'],have|haves|having|had|haven't,['P2Y10M2D'],what she have in,,,,,0,?,?,
Brown,adam16.xml,['Adam'],have|haves|having|had|haven't,['P2Y10M16D'],we have supper,supper,event,supper,event,event,?,,
Brown,adam16.xml,['Adam'],have|haves|having|had|haven't,['P2Y10M16D'],le me have my juice cranberry,juice,object,juice,object,object,,?,
Brown,adam16.xml,['Adam'],have|haves|having|had|haven't,['P2Y10M16D'],I have money,money,object,money,object,object,,,
Brown,adam16.xml,['Adam'],have|haves|having|had|haven't,['P2Y10M16D'],we having truck,truck,object,truck,object,object,,,
Brown,adam16.xml,['Adam'],have|haves|having|had|haven't,['P2Y10M16D'],you have some,some,pronoun,some,pronoun,pronoun,,,
Brown,adam16.xml,['Adam'],have|haves|having|had|haven't,['P2Y10M16D'],I have it,,,,,0,,,
Brown,adam16.xml,['Adam'],have|haves|having|had|haven't,['P2Y10M16D'],I have it,,,,,0,,,
Brown,adam16.xml,['Adam'],have|haves|having|had|haven't,['P2Y10M16D'],let me have it,,,,,0,,,
Brown,adam16.xml,['Adam'],have|haves|having|had|haven't,['P2Y10M16D'],le me have it,,,,,0,,,
Brown,adam16.xml,['Adam'],have|haves|having|had|haven't,['P2Y10M16D'],you have it,,,,,0,,,
Brown,adam16.xml,['Adam'],have|haves|having|had|haven't,['P2Y10M16D'],le me have it,,,,,0,,,
Brown,adam16.xml,['Adam'],have|haves|having|had|haven't,['P2Y10M16D'],le me have it,,,,,0,,,
Brown,adam16.xml,['Adam'],have|haves|having|had|haven't,['P2Y10M16D'],le me have it,,,,,0,,,
Brown,adam16.xml,['Adam'],have|haves|having|had|haven't,['P2Y10M16D'],an have it,,,,,0,,,
Brown,adam16.xml,['Adam'],have|haves|having|had|haven't,['P2Y10M16D'],le me have it,,,,,0,,,
Brown,adam16.xml,['Adam'],have|haves|having|had|haven't,['P2Y10M16D'],we having,,,,,0,?,?,
Brown,adam16.xml,['Adam'],have|haves|having|had|haven't,['P2Y10M16D'],I have wash it,,,,,0,,,
Brown,adam17.xml,['Adam'],have|haves|having|had|haven't,['P2Y10M30D'],xxx Cromer have eat pie,,,pie,event,!!!,,?,
Brown,adam17.xml,['Adam'],have|haves|having|had|haven't,['P2Y10M30D'],cotton balls I had my hand,,,cotton balls,object,!!!,,?,
Brown,adam17.xml,['Adam'],have|haves|having|had|haven't,['P2Y10M30D'],we having coffee,coffee,event,coffee,event,event,?,?,
Brown,adam17.xml,['Adam'],have|haves|having|had|haven't,['P2Y10M30D'],den then have juice,juice,object,juice,object,object,,,
Brown,adam17.xml,['Adam'],have|haves|having|had|haven't,['P2Y10M30D'],you have some,some,pronoun,some,pronoun,pronoun,,,
Brown,adam17.xml,['Adam'],have|haves|having|had|haven't,['P2Y10M30D'],le me have dose those,those,pronoun,those,pronoun,pronoun,,,
Brown,adam17.xml,['Adam'],have|haves|having|had|haven't,['P2Y10M30D'],le me have it dose those,those,pronoun,it,pronoun,pronoun,?,,
Brown,adam17.xml,['Adam'],have|haves|having|had|haven't,['P2Y10M30D'],daisy daisy I have carry it,,,,,0,,,
Brown,adam17.xml,['Adam'],have|haves|having|had|haven't,['P2Y10M30D'],I have be little,,,,,0,?,?,
Brown,adam17.xml,['Adam'],have|haves|having|had|haven't,['P2Y10M30D'],it's going walk like le me have yours,,,,,0,,?,
Brown,adam17.xml,['Adam'],have|haves|having|had|haven't,['P2Y10M30D'],d you want me have birthday,,,birthdday,,0,?,?,
Brown,adam18.xml,['Adam'],have|haves|having|had|haven't,['P2Y11M13D'],d you wan me have on door,,,door,object,!!!,,?,
Brown,adam18.xml,['Adam'],have|haves|having|had|haven't,['P2Y11M13D'],I have what dat that little boy name,name,object,name,object,object,,,
Brown,adam18.xml,['Adam'],have|haves|having|had|haven't,['P2Y11M13D'],le me have it,,,,,0,,,
Brown,adam18.xml,['Adam'],have|haves|having|had|haven't,['P2Y11M13D'],le me have it,,,,,0,,,
Brown,adam18.xml,['Adam'],have|haves|having|had|haven't,['P2Y11M13D'],we have it,,,,,0,,,
Brown,adam19.xml,['Adam'],have|haves|having|had|haven't,['P2Y11M28D'],she already have one,,,one,pronoun,!!!,,?,
Brown,adam19.xml,['Adam'],have|haves|having|had|haven't,['P2Y11M28D'],she you have one,,,one,pronoun,!!!,,?,
Brown,adam19.xml,['Adam'],have|haves|having|had|haven't,['P2Y11M28D'],we having  game,game,event,game,event,event,?,?,
Brown,adam19.xml,['Adam'],have|haves|having|had|haven't,['P2Y11M28D'],why not he have ball,ball,object,ball,object,object,,,
Brown,adam19.xml,['Adam'],have|haves|having|had|haven't,['P2Y11M28D'],dose those are have balls,ball,object,balls,object,object,,,
Brown,adam19.xml,['Adam'],have|haves|having|had|haven't,['P2Y11M28D'],you have cigarette,cigarette,object,cigarette,object,object,,,
Brown,adam19.xml,['Adam'],have|haves|having|had|haven't,['P2Y11M28D'],I have fork eat,fork,object,fork,object,object,,,
Brown,adam19.xml,['Adam'],have|haves|having|had|haven't,['P2Y11M28D'],yeah he not have hair,hair,object,hair,object,object,,,
Brown,adam19.xml,['Adam'],have|haves|having|had|haven't,['P2Y11M28D'],why dey they have horn,horn,object,horn,object,object,,,
Brown,adam19.xml,['Adam'],have|haves|having|had|haven't,['P2Y11M28D'],I have turn knob,knob,object,knob,object,object,,,
Brown,adam19.xml,['Adam'],have|haves|having|had|haven't,['P2Y11M28D'],I have turn knob,knob,object,knob,object,object,,,
Brown,adam19.xml,['Adam'],have|haves|having|had|haven't,['P2Y11M28D'],you have paper in,paper,object,paper,object,object,,,
Brown,adam19.xml,['Adam'],have|haves|having|had|haven't,['P2Y11M28D'],I have part dat that,part,object,part,object,object,,,
Brown,adam19.xml,['Adam'],have|haves|having|had|haven't,['P2Y11M28D'],yep you must have pencil,pencil,object,pencil,object,object,,,
Brown,adam19.xml,['Adam'],have|haves|having|had|haven't,['P2Y11M28D'],le me have one dose those pilots,pilot,object,pilots,object,object,,,
Brown,adam19.xml,['Adam'],have|haves|having|had|haven't,['P2Y11M28D'],she have two raisins,raisin,object,raisin,object,object,,,
Brown,adam19.xml,['Adam'],have|haves|having|had|haven't,['P2Y11M28D'],I have raisin in,raisin,object,raisin,object,object,,,
Brown,adam19.xml,['Adam'],have|haves|having|had|haven't,['P2Y11M28D'],I have stone,stone,object,stone,object,object,,,
