Corpus,File,Name,Verb,Age,Sent,Syntactic Object,Event or Object,Syntactic Object,Event or Object,Convergence,Comments,Comments,
Brown,adam05.xml,['Adam'],get|gets|got|gotten|getting,['P2Y4M30D'],Daddy back dere there Daddy get screw,screw,object,screw,object,object,,,
Brown,adam05.xml,['Adam'],get|gets|got|gotten|getting,['P2Y4M30D'],I got it,,,,,0,,,
Brown,adam05.xml,['Adam'],get|gets|got|gotten|getting,['P2Y4M30D'],I got it,,,,,0,,,
Brown,adam05.xml,['Adam'],get|gets|got|gotten|getting,['P2Y4M30D'],I got it,,,,,0,,,
Brown,adam05.xml,['Adam'],get|gets|got|gotten|getting,['P2Y4M30D'],I got it,,,,,0,,,
Brown,adam05.xml,['Adam'],get|gets|got|gotten|getting,['P2Y4M30D'],I got it,,,,,0,,,
Brown,adam05.xml,['Adam'],get|gets|got|gotten|getting,['P2Y4M30D'],I got it,,,,,0,,,
Brown,adam06.xml,['Adam'],get|gets|got|gotten|getting,['P2Y5M12D'],go get it,,,,,0,,,
Brown,adam06.xml,['Adam'],get|gets|got|gotten|getting,['P2Y5M12D'],Adam get it,,,,,0,,,
Brown,adam07.xml,['Adam'],get|gets|got|gotten|getting,['P2Y6M3D'],I fell down getting my boot,boot,object,boot,object,object,,,
Brown,adam07.xml,['Adam'],get|gets|got|gotten|getting,['P2Y6M3D'],monkey get de the penny,penny,object,penny,object,object,,,
Brown,adam07.xml,['Adam'],get|gets|got|gotten|getting,['P2Y6M3D'],monkey get dat that,that,pronoun,that,pronoun,pronoun,,,
Brown,adam07.xml,['Adam'],get|gets|got|gotten|getting,['P2Y6M3D'],what dat that got on knees,,,,,0,,,
Brown,adam07.xml,['Adam'],get|gets|got|gotten|getting,['P2Y6M3D'],what dat that got on,,,,,0,?,,
Brown,adam07.xml,['Adam'],get|gets|got|gotten|getting,['P2Y6M3D'],no what dat that got on,,,,,0,?,,
Brown,adam07.xml,['Adam'],get|gets|got|gotten|getting,['P2Y6M3D'],what dat that got on,,,,,0,?,,
Brown,adam07.xml,['Adam'],get|gets|got|gotten|getting,['P2Y6M3D'],I get it,,,,,0,,,
Brown,adam07.xml,['Adam'],get|gets|got|gotten|getting,['P2Y6M3D'],what dat that got on,,,,,0,?,,
Brown,adam07.xml,['Adam'],get|gets|got|gotten|getting,['P2Y6M3D'],what dat that got on Mommy,,,,,0,,,
